"","Decad","var","province","cnt.total","year","decad.name"
"173",27,"planting_end","Lusaka",0,"2021",2021-09-22
"174",28,"planting_end","Lusaka",0,"2021",2021-10-02
"175",29,"planting_end","Lusaka",0,"2021",2021-10-12
"176",30,"planting_end","Lusaka",0,"2021",2021-10-22
"177",31,"planting_end","Lusaka",0,"2021",2021-11-02
"178",32,"planting_end","Lusaka",0,"2021",2021-11-12
"179",33,"planting_end","Lusaka",0,"2021",2021-11-22
"180",34,"planting_end","Lusaka",0,"2021",2021-12-02
"181",1,"planting_end","Muchinga",7,"2021",2022-01-01
"182",2,"planting_end","Muchinga",14,"2021",2022-01-11
"183",3,"planting_end","Muchinga",2,"2021",2022-01-21
"184",5,"planting_end","Muchinga",3,"2021",2022-02-11
"185",32,"planting_end","Muchinga",1,"2021",2021-11-12
"186",35,"planting_end","Muchinga",1,"2021",2021-12-12
"187",36,"planting_end","Muchinga",23,"2021",2021-12-22
"188",4,"planting_end","Muchinga",0,"2021",2022-02-01
"189",6,"planting_end","Muchinga",0,"2021",2022-02-21
"190",7,"planting_end","Muchinga",0,"2021",2022-03-02
"191",8,"planting_end","Muchinga",0,"2021",2022-03-12
"192",9,"planting_end","Muchinga",0,"2021",2022-03-22
"193",10,"planting_end","Muchinga",0,"2021",2022-04-02
"194",11,"planting_end","Muchinga",0,"2021",2022-04-12
"195",12,"planting_end","Muchinga",0,"2021",2022-04-22
"196",13,"planting_end","Muchinga",0,"2021",2022-05-02
"197",14,"planting_end","Muchinga",0,"2021",2022-05-12
"198",15,"planting_end","Muchinga",0,"2021",2022-05-22
"199",16,"planting_end","Muchinga",0,"2021",2022-06-02
"200",17,"planting_end","Muchinga",0,"2021",2022-06-12
"201",18,"planting_end","Muchinga",0,"2021",2022-06-22
"202",19,"planting_end","Muchinga",0,"2021",2022-07-02
"203",20,"planting_end","Muchinga",0,"2021",2022-07-12
"204",21,"planting_end","Muchinga",0,"2021",2022-07-22
"205",22,"planting_end","Muchinga",0,"2021",2022-08-02
"206",23,"planting_end","Muchinga",0,"2021",2022-08-12
"207",24,"planting_end","Muchinga",0,"2021",2022-08-22
"208",25,"planting_end","Muchinga",0,"2021",2021-09-02
"209",26,"planting_end","Muchinga",0,"2021",2021-09-12
