"dekad","year","1","2","3","4","5","6","7","8","9","10"
16,"1985",0.2754373,0.2559525,0.4874017,0.4242567,0.2867423,0.5152254,0.2854269,0.6228027,0.34284,0.2702384
17,"1985",0.07848033,0.02968892,0.2555487,0.0399913,0.1411285,0.1762531,0.08096551,0.1719318,0.2612892,0.07915509
18,"1985",0.04915794,0.008911154,0.1924836,0.009719891,0.09738664,0.1132374,0.03756273,0.08107779,0.1976715,0.05776362
19,"1985",0.06473341,0.009100601,0.1889049,0.0229845,0.0589544,0.1405343,0.01232616,0.07396145,0.04792072,0.02133714
20,"1985",0.0529762,0.00015937509,0.1509576,0.005296426,0.03301772,0.09527916,0.001324753,0.01504467,0.00090787024,0.004818602
21,"1985",0.06820355,0.01192608,0.1495629,0.03059898,0.047022,0.09956616,0.03119551,0.02881359,0.001942641,0.01370871
22,"1985",0.08092864,0.05315574,0.07425253,0.03383957,0.07908009,0.06813485,0.06486024,0.02734092,0.01400453,0.0252145
23,"1985",0.1018926,0.08070631,0.07015885,0.08378695,0.1048908,0.07630154,0.1164547,0.06370491,0.0224472,0.04379897
24,"1985",0.1905704,0.182122,0.128744,0.3997872,0.1800614,0.1757015,0.4831015,0.3777655,0.1273067,0.2014216
25,"1985",0.02818859,0.001393261,0.05492605,0.5657775,0.05558528,0.1627119,0.5905178,0.6435087,0.01853049,0.08852733
26,"1985",0.1051092,0.04723541,0.1347346,1.105404,0.1600437,0.2699665,3.033144,1.038623,0.133402,0.2443058
27,"1985",1.211507,1.530234,0.8886075,2.529963,0.9240245,0.928872,3.101549,2.232562,1.3336,1.736183
28,"1985",2.792142,3.078217,1.286437,3.181415,2.198106,1.280342,7.982627,2.589742,2.712482,5.00856
29,"1985",2.518511,4.110787,1.744208,6.776973,2.265303,1.842476,10.42732,6.126593,3.48955,7.122572
30,"1985",16.57149,17.92694,10.45247,24.15957,13.90383,13.85147,25.66805,22.29588,15.23718,13.2765
31,"1985",22.56922,29.95286,32.8479,48.46642,27.22533,40.73412,20.39527,46.48355,23.23189,10.91953
32,"1985",17.01986,33.12862,50.46307,31.83461,7.363428,42.49909,23.55885,34.76521,8.889951,13.73174
33,"1985",22.36229,52.84752,46.22682,85.15981,9.886554,71.05831,52.94798,88.88258,11.15198,25.84712
34,"1985",60.71852,80.38716,81.04353,102.0278,49.65931,94.29973,81.37045,110.4327,35.38553,42.84198
35,"1985",79.98368,89.31059,61.50591,108.1106,80.68374,64.77621,85.54621,82.40518,82.36652,65.27828
36,"1985",96.35965,94.69699,93.65404,84.61137,100.5211,91.53487,81.9863,83.88058,56.15143,48.60092
1,"1986",76.60062,98.32137,82.64024,63.01506,93.69179,89.04617,68.20352,56.86866,62.37749,54.68163
2,"1986",97.89486,101.6158,97.21168,91.40304,77.35378,89.98912,86.14742,86.13492,65.99835,62.29259
3,"1986",102.1681,126.1999,114.8204,86.43991,99.59882,120.4461,101.3856,94.2629,61.01006,65.73552
4,"1986",79.2551,126.9033,118.1731,96.79073,73.36166,97.61197,102.72,79.10936,76.91235,75.56104
5,"1986",33.87237,67.05197,48.84318,96.81477,38.96665,81.80889,61.91745,89.89288,27.39072,28.08308
6,"1986",55.17656,68.16169,43.57846,47.64391,35.27672,35.15918,61.26452,32.85469,29.40387,40.97689
7,"1986",60.56168,147.2842,80.64663,143.2322,35.60703,79.55898,129.0647,89.17101,22.42424,61.68201
8,"1986",14.25235,30.42536,17.43031,72.91157,18.77585,45.85342,43.12924,90.95474,26.81145,48.1205
9,"1986",38.69453,47.67952,41.65929,68.27346,54.70791,66.62024,53.41861,60.99836,39.19371,44.34165
10,"1986",12.26137,10.42172,25.65446,14.37962,11.87783,16.57233,13.19874,11.24183,14.83629,9.620412
11,"1986",27.82615,51.88176,12.87739,47.95459,33.45913,15.72075,35.80038,27.85669,11.79433,11.02896
12,"1986",26.60939,32.33423,16.22554,43.35181,25.91273,16.35544,18.73948,40.73941,20.59153,18.30174
13,"1986",1.490147,1.475814,1.664551,2.967716,1.49367,2.609805,2.095574,4.593527,1.177872,2.215703
14,"1986",0.5668381,0.2768158,1.111172,1.137441,0.466832,2.012883,0.3040532,2.442373,0.4733182,0.4990978
15,"1986",0.3880196,0.07061295,0.8676704,0.4767011,0.2901421,1.525171,0.07669789,1.172345,0.3373382,0.2170446
16,"1986",0.2751018,0.2564111,0.4607769,0.4359223,0.2879516,0.5116642,0.2855852,0.624117,0.3312968,0.2614834
17,"1986",0.07320587,0.02896233,0.2001463,0.04225167,0.131201,0.1735054,0.08059638,0.1763723,0.2423005,0.0803695
18,"1986",0.04894974,0.008888164,0.1773022,0.009709813,0.09702143,0.1138583,0.03755747,0.08350416,0.1905682,0.0547155
19,"1986",0.06470115,0.009099835,0.1869314,0.02298347,0.05895205,0.1371689,0.01232198,0.07392157,0.04792727,0.02133733
20,"1986",0.05293057,0.00015945396,0.1495981,0.005298113,0.03302498,0.09325723,0.001324709,0.01502666,0.00090786297,0.004818603
21,"1986",0.06849245,0.01195401,0.1482348,0.03055441,0.0470311,0.09821075,0.03080531,0.02888191,0.001942673,0.01370871
22,"1986",0.08763199,0.05422091,0.08153678,0.03598479,0.08549418,0.0730368,0.0814504,0.02827663,0.01517365,0.02587464
23,"1986",0.1035737,0.08081497,0.07015113,0.08692866,0.1048601,0.07764772,0.1408967,0.06386017,0.02244814,0.04338939
24,"1986",0.1931541,0.1818894,0.1283398,0.4140589,0.1799055,0.1780807,0.8558049,0.3786124,0.1273053,0.2057384
25,"1986",0.02469083,0.0009916852,0.04764137,0.6871538,0.05600983,0.160657,0.7221033,0.745877,0.02156937,0.07669852
