"dekad","year","1","2","3","4","5","6","7","8","9","10","11"
16,"1985",0,0,0,0,0,0,0,0,0,0,0
17,"1985",0,0,0,0,0,0,0,0,0,0,0
18,"1985",0,0,0,0,0,0,0,0,0,0,0
19,"1985",0.00102038,0.4208262,0,0,0,0.00036895779,0,0,0.009645831,9.0772352e-07,0
20,"1985",0,0,0,0,0,0,0,0,0,0,0
21,"1985",0,0,0,0,0,0,0,0,0,0,0
22,"1985",0,0,0,0,0,0,0,0,0,0,0
23,"1985",0,0,0,0,0,0,0,0,0,0,0
24,"1985",0,0,0,0.0156529,0.3474442,0,0.0222551,0.07366739,0,0.02098863,0.03755702
25,"1985",0.004436157,0.001227869,0,0,0.01201239,0,0.01341264,0.05504015,0,0.002452492,0
26,"1985",0.49514,0.5599928,10.77442,0,0.002432681,0,0.906795,0,0.9305868,0.1015686,0.3460694
27,"1985",0,0,0.2147476,0,0.0368427,0,1.581819,0.262831,0.01442853,0.002450803,0.436229
28,"1985",0,0,0.1262178,0,0,0.2177666,0.2938596,0.056074,0.06261408,0.5315312,0.06094832
29,"1985",4.729393,3.016985,8.953666,0,0,0.2950606,1.982899,0,2.890383,0.2401143,1.073453
30,"1985",16.75716,15.49732,31.45142,1.44219,9.478014,12.02438,24.42926,12.0639,21.90588,19.10175,18.13943
31,"1985",16.3275,17.52903,40.63341,20.80671,34.70205,25.03166,45.14158,44.59612,28.25508,22.5405,29.40223
32,"1985",3.351881,2.50599,9.859537,29.02568,36.62686,3.712092,36.42392,38.64078,18.05356,9.779876,38.67707
33,"1985",32.73348,18.13321,40.46659,59.84706,65.01396,15.80279,56.10913,42.50632,53.22559,32.58451,66.86012
34,"1985",50.46391,29.8023,55.17321,102.8622,116.9208,32.59249,101.2472,95.43556,47.33502,51.94683,112.6764
35,"1985",82.57873,103.8876,116.9737,60.7771,73.89247,111.7001,148.1499,78.32313,118.623,119.3002,105.3935
36,"1985",52.49586,58.18899,78.59988,66.52872,81.48828,108.0837,81.13066,82.94853,69.71944,79.13514,77.02443
1,"1986",73.4562,87.88335,77.37279,51.09241,91.62237,99.32285,54.34818,88.39372,110.0555,94.41592,50.98047
2,"1986",45.88912,40.33966,52.40442,52.92398,64.55539,52.33918,75.00263,70.87084,61.21084,65.22015,89.65311
3,"1986",74.62464,56.72574,122.2747,87.88772,120.0322,90.71294,97.0354,117.4344,131.1667,98.29833,96.03139
4,"1986",72.75873,63.33696,89.80405,68.14028,83.7869,84.44549,108.5683,118.5363,126.3596,95.07818,77.32643
5,"1986",21.10725,12.09473,66.2468,64.21194,67.92673,21.56366,84.55657,26.55628,57.89536,28.81709,89.88359
6,"1986",53.42333,27.19677,45.08142,11.56306,21.94215,35.11988,31.67818,35.06811,35.04103,40.90534,37.1087
7,"1986",39.224,13.06542,101.4196,85.18961,71.42941,29.08153,112.6319,67.67325,81.11145,46.46735,99.34505
8,"1986",68.3679,30.76032,71.84956,88.44638,67.40652,11.07496,79.7964,32.65487,54.29871,22.88869,73.57772
9,"1986",57.07212,44.38052,65.70351,45.41725,57.18575,57.38697,90.0033,37.31491,80.00824,51.37103,77.85271
10,"1986",4.398859,3.553905,3.614595,7.055922,14.55856,3.583559,26.17512,15.3215,5.98766,2.512559,23.85934
11,"1986",46.47915,64.76859,57.85581,1.16295,21.24228,90.95621,56.22689,34.51876,64.12035,65.74564,36.36698
12,"1986",21.5186,15.30421,15.90237,14.06776,12.35068,14.6454,26.14131,17.67502,10.1242,21.1545,26.75589
13,"1986",0,0,0,0,0,0,0,0,0,0,0.2042435
14,"1986",0,0,0,6.584094,2.95226,0.00049215107,0.3261808,0.1281404,0,0,3.433418
15,"1986",0.2865616,2.7478411e-05,0.06880315,0.9440603,0.3765489,0.04296848,0.5067671,0.08773145,0.00039164588,0.01698078,0.4636774
16,"1986",0,2.0903699e-05,0.1874301,0,0.00973554,0.006797388,0.009355172,0.01233591,0.167166,0.04373075,0.00022811189
17,"1986",0,0,0,0,0,0,0,0,0,0,0
18,"1986",0,0.002466808,0,0,0.01011772,0.01027696,0,0.00405988,0,0,0.006689865
19,"1986",0.03911335,0.223075,0,0,0,0.07099648,0.06887945,0,0,0.04871476,0.008966025
20,"1986",0,0,0,0,0,0,0,0,0,0,0
21,"1986",0,0,0,0,0,0,0,0,0,0,0
22,"1986",0.002590592,0,0.1680214,0,8.4520929e-05,0,0.1175668,0,0,0,0.06022802
23,"1986",0,0,0,0,0,0,0,0,0,0,0
24,"1986",0.1262106,0,0.3748124,0,0,0,0,0,0,0,0
25,"1986",0,0,0,0,0,0,0,0,0,0,0
26,"1986",0,0.00072264805,0.04413776,0.3263489,0.121647,0.07980743,0,0.005793189,0,0.005478213,0.04281321
27,"1986",4.623951,0.2025343,9.317492,0,0,0.8466612,4.185215,0.01989035,0.05503291,0.4947304,2.911002
28,"1986",10.03686,5.086766,32.14922,0,0.4948802,4.039948,17.37216,2.767786,12.52095,9.751131,20.03182
29,"1986",34.378,48.92166,30.30845,3.922627,12.46831,27.62325,18.95342,16.27796,19.09512,23.87947,8.010887
30,"1986",48.55569,30.46632,65.97765,26.94531,24.78298,23.64982,65.75728,18.87975,52.19152,31.55593,48.66748
31,"1986",51.6711,27.70501,77.03159,22.18348,36.4398,19.54883,51.28574,40.85535,68.50742,28.28999,48.95817
32,"1986",3.066513,2.42574,31.51027,29.65272,23.17532,0.2025007,20.95317,7.352593,24.64794,6.829646,30.55241
33,"1986",65.1776,38.85909,76.98842,54.5321,39.66921,26.15371,74.81681,39.62675,60.81936,49.1095,64.40216
34,"1986",105.0014,119.4277,94.04836,100.1404,98.37376,142.2783,76.44485,129.3408,81.97856,124.8299,89.97446
35,"1986",3.22477,11.5383,31.54165,119.4291,97.38029,16.47071,117.8627,53.292,28.06728,20.33586,143.651
36,"1986",28.07843,23.53599,41.66207,79.63605,62.57031,21.49358,89.33777,51.23352,42.59715,36.18185,90.22837
1,"1987",17.94612,6.898571,47.88263,64.11344,61.19848,24.88719,32.89397,35.59835,51.00452,30.01981,69.85343
2,"1987",92.41106,79.45564,85.14986,71.34604,88.70239,101.3158,76.32414,88.01369,105.2183,84.71575,75.68778
3,"1987",46.09132,27.55036,114.3195,38.33179,82.32175,86.14138,78.79385,91.93394,137.8907,90.0323,58.50666
4,"1987",67.25288,39.94743,89.71447,71.95809,65.89792,26.21768,106.1517,42.36968,86.74026,52.82757,95.45602
5,"1987",39.81111,12.19094,76.90506,91.02099,80.79259,6.231632,86.09295,31.72248,64.40437,23.0437,116.3671
6,"1987",30.60195,18.87315,62.68954,37.65814,47.67915,21.62243,49.28402,66.48468,61.25765,33.33242,60.89792
7,"1987",13.44799,10.32938,18.62241,65.28419,56.58791,4.024826,65.0232,24.01213,22.77435,20.10887,71.37959
8,"1987",44.45008,10.12489,64.7133,56.70666,50.39735,9.288296,80.95341,16.21681,75.5031,28.42467,73.3436
9,"1987",38.24614,23.68039,45.96573,108.7845,63.73727,14.16591,105.0881,44.31332,75.77269,32.46107,91.00114
10,"1987",0.4111852,0,9.817619,17.36937,29.58619,0,49.49557,12.13341,7.923835,2.526634,68.31963
11,"1987",1.421635,1.675432,1.689498,0.8135834,2.907987,0.00048923737,10.73295,1.594168,0.2359652,0.8811221,9.576454
12,"1987",0,0,0,4.994785,2.362655,0,2.877717,0.3398632,0,0.0004637909,7.736667
13,"1987",1.122485,2.611385,3.996234,1.150481,0.2153132,1.542603,0.7295652,0.1608392,0.2726448,0.5959117,1.567797
14,"1987",0,0,0.3190826,0,1.577325,0,0.599227,0.7703681,0.3784837,0.02999476,1.889462
15,"1987",0.05788585,0,0.6861913,0,0,0,0,0.02868593,0,1.4972595e-06,0
16,"1987",0,0,0,0,0,0,0,0,0,6.5745502e-05,0
17,"1987",0,0,0,0.002950822,0.02089307,0,0,0.03424465,0,2.3644452e-07,2.9127501e-05
18,"1987",0,0,0,0,0.005777637,0.001855306,0,0.148288,0,0.01960786,0
19,"1987",0,0,0,0,0,0,0,0,0,0,0
20,"1987",0,0,0,0,0,1.4942619e-05,0,0.00020409883,0,4.7509639e-05,0
21,"1987",0,4.6248577e-05,0,0,0,0,0,0,0,0,0
22,"1987",0,0,0.007132018,0,0.00092513254,0,0.04347534,0.00013059708,0.246564,0.03404587,5.9326787e-05
23,"1987",0,0,0,0,0,0,0,0,0,0,0
24,"1987",0,0,0,0,0,0,0.001460875,0.00032613962,0,0,0.003081698
