"year","month","1","2","3","4","5","6","7","8","9","10"
"2009","Mar",6680.53295174623,7335.43267497396,7155.27980534286,6254.73085859657,6537.13657211923,6868.30754788123,6988.55057065579,6747.39141155298,6299.51787869574,5991.92634638208
"2009","May",5827.12682957837,6277.6553874199,5903.97525808406,6387.49109897787,6120.72213975271,6205.80972168461,6445.35764342505,6290.34049639797,5056.91037294096,5083.3366182415
"2009","Nov",5330.84465124883,5965.75838302262,4358.22927545826,5722.63678094262,4711.48857092844,5189.69170252723,6372.1079778454,5667.18727489951,4307.44126890525,5213.04309118122
"2009","Oct",4238.80199667559,5342.28906648209,3388.5428967003,5099.30731682579,3711.1159989979,3932.3371985213,5859.24212659734,4448.81008593557,3362.29029873014,4560.48605422328
"2009","Sep",3806.9267930122,4712.32139389096,3218.99634993163,4112.40573750196,3564.87315283493,3659.73564875341,5130.19659794449,3917.60872817103,3162.92022910561,3888.78834592263
"2010","Apr",6616.79098150147,7060.30770234191,6754.10036872457,6565.80264646382,6671.55404937608,6814.1393829141,7113.26173196487,6792.88374988949,6113.7405059633,5861.30312145059
"2010","Aug",3884.45564657215,4230.63281658624,3513.40658700149,3895.72436793979,3939.51685341535,4078.29433414764,4616.17079453778,3992.57401806256,3331.48111929039,3682.63123021807
"2010","Dec",6629.22351540862,7070.79568057202,6012.4160960619,6544.26201483716,6505.31741545167,6019.62420061535,7020.60762567674,6562.31129546029,6065.38304648228,5770.01378346494
"2010","Feb",5534.59966474423,5702.44297909491,5472.10793862105,5596.93164764369,4954.23296230453,5772.38655642074,6578.99087026446,6737.31478550341,5322.60376677458,5974.05421333487
"2010","Jan",7225.57061543091,7116.62254467176,7126.56553685213,6356.11585025522,7210.24522372686,7027.13954943068,6896.77727757117,7043.8031156171,6458.10029221877,6050.78154066521
"2010","Jul",4497.92973705402,4843.00302984435,4168.16098024094,4709.12592278679,4609.36639464886,4667.63676501853,5231.29702791019,4637.28474064165,3924.76461115273,4170.42685966579
"2010","Jun",5172.39943710588,5569.45372663322,4950.47677565016,5485.4277906192,5356.34151433398,5354.71127570399,5862.80523874277,5315.345321015,4610.04818192352,4696.29593942858
"2010","Mar",7028.15440156315,7631.69816263129,6962.92636145567,6884.23169680764,6882.21934897536,7019.51391670202,7369.68124967359,6996.55018979869,6623.70656302395,6235.69605149191
"2010","May",5913.03862667657,6237.90275963791,5866.83771017992,6141.81690166045,6048.71236577791,6104.04273509695,6504.05983958901,6078.35467735028,5446.9314845977,5342.55490280685
"2010","Nov",4902.41945153504,5917.38083668942,3787.32431197196,5296.90993568192,4379.03129890475,4317.82928228586,6452.33753333993,5094.27509237831,3720.7333088321,4933.99120430995
"2010","Oct",3993.84751171484,4928.2842009568,3151.48916632484,4331.50733480505,3439.69458398805,3667.09069474145,5595.16670961046,4090.86894862363,3016.57221581488,4287.28122773813
"2010","Sep",3627.63279578291,4401.42213317807,3148.76883019641,3866.42958369301,3502.84972968555,3548.90969953433,4795.06884943378,3722.73731937537,3015.67553939156,3807.49682089673
