Case_ID,Farm_Polygon,Crop_Type,Planting_Date,Harvesting_date,crop_condition,season,Intercropping,inter_with_which_crop,ADM0(Country),ADM1,ADM2,Final_Weight,Yield(Mt/ha),,,,,,,,,,,,
022551d1-9dde-4123-9ce5-a8f388d7f4e0,"MULTIPOLYGON (((32.5812867 -11.8792283,32.5812867 -11.87923,32.5812891187305 -11.8793529767643,32.581105 -11.8795233,32.5809634 -11.8793148,32.5812867 -11.8792283)))",maize,2022-01-02,2022-05-10,below_average,Main Season,no,,Zambia,Chama,Chifunda,7.84,1.96,,,,,,,,,,,,
023128cf-5443-4ce7-b373-0386ed95ea1a,"MULTIPOLYGON (((32.9660979075 -13.14153643,32.9655981075 -13.14152215,32.9654315075 -13.14139363,32.9661502675 -13.14092239,32.9660979075 -13.14153643)))",groundnuts,2021-12-20,2022-05-15,good,Main Season,no,,Zambia,Lumezi,Nkhanyu,4.53,1.13,,,,,,,,,,,,
0255f2cc-93f6-4cbb-a92e-3f2d9891e702,"MULTIPOLYGON (((28.139885115944 -14.5403156668659,28.139835 -14.54032,28.1398555355633 -14.5399663445104,28.14027 -14.5399583,28.1402088 -14.5403428,28.139885115944 -14.5403156668659)))",maize,2021-12-25,2022-06-29,average,Main Season,yes,other,Zambia,Kapiri-Mposhi,Muchinga,4.97,1.24,,,,,,,,,,,,
026c1e75-7b5c-43c1-89a0-e355ec2b021e,"MULTIPOLYGON (((24.2265814014021 -12.0784574400027,24.2261132414021 -12.0780570400027,24.2263658014021 -12.0777305600027,24.226827 -12.07811796,24.22682074 -12.07814138,24.2265814014021 -12.0784574400027)))",maize,2022-01-07,2022-06-06,below_average,Main Season,no,,Zambia,Mwininlunga,Kakula,11.39,2.85,,,,,,,,,,,,
02c70e1b-6616-4ab6-bc6e-1e7910267057,"MULTIPOLYGON (((28.812204 -11.1521271,28.8120226322914 -11.1520568286971,28.8120755 -11.1518305,28.8122647851672 -11.1519092918457,28.812204 -11.1521271)))",groundnuts,2022-01-25,2022-05-20,average,Main Season,yes,groundnuts other,Zambia,Mansa,Kabunda,1.88,0.47,,,,,,,,,,,,
02d3aaf7-f9c8-4031-a6dd-9b86bf1a2719,"MULTIPOLYGON (((30.1045284 -12.3652486,30.1045191492653 -12.365254188051,30.1049655317267 -12.3653761513498,30.1049150492653 -12.365733088051,30.1044097220252 -12.365657300226,30.1045284 -12.3652486)))",maize,2022-01-18,2022-06-30,good,Main Season,no,,Zambia,Chitambo,Luombwa,13.66,3.41,,,,,,,,,,,,
031d6d67-49c3-4a3b-b12e-e6ee1a2d0938,"MULTIPOLYGON (((32.7587796139819 -13.3851328219327,32.7584133 -13.3850083,32.7585983 -13.384575,32.7590017 -13.3847167,32.7587796139819 -13.3851328219327)))",maize,2021-12-03,2022-06-15,good,Main Season,no,,Zambia,Chipangali,Chanje West,20.47,5.12,,,,,,,,,,,,
03260900-6bf0-46a7-9988-015089cb72e5,"MULTIPOLYGON (((32.3094396973552 -10.0340477376327,32.3086744686475 -10.0338608168799,32.30903 -10.03349,32.3090317 -10.03349,32.3096829095801 -10.0337264675221,32.3094396973552 -10.0340477376327)))",maize,2022-01-15,2022-06-15,average,Main Season,no,,Zambia,Chinsali,Kaso,1.85,0.46,,,,,,,,,,,,
0327a609-989a-4744-885b-5880b5b23a8a,"MULTIPOLYGON (((31.5855513 -11.1918497,31.5856943 -11.1919634,31.585484061163 -11.1923305709889,31.5853169 -11.1922432,31.5855513 -11.1918497)))",maize,2022-01-09,2022-05-10,good,Main Season,no,,Zambia,Shiwang'andu,Kapisha,7.26,1.82,,,,,,,,,,,,
032d346d-37cc-4879-a99b-a5b92624ffec,"MULTIPOLYGON (((31.0888470738192 -12.7952222645074,31.0888965736339 -12.7950792650427,31.0892669055808 -12.7952057645691,31.089095 -12.79535,31.0888470738192 -12.7952222645074)))",maize,2021-12-18,2022-06-15,very_good,Main Season,no,,Zambia,Lavushi Manda,Mupamazi,2.40,0.60,,,,,,,,,,,,
0335d2c9-5ab9-4b06-8486-de2f0f84308f,"MULTIPOLYGON (((31.9626719 -11.0573034,31.9626207 -11.0573433,31.962474 -11.0571599,31.9625907 -11.0569694,31.9627757435216 -11.0571150486914,31.962726568382 -11.0572115732282,31.9626719 -11.0573034)))",maize,2021-11-05,2022-06-01,very_good,Main Season,no,,Zambia,Shiwang'andu,Kabangama,6.90,1.72,,,,,,,,,,,,
034af568-1497-4d9a-98bf-86281b6ba8df,"MULTIPOLYGON (((22.7117625472231 -13.0763398859532,22.7116660240136 -13.0762312973425,22.7118383868878 -13.0761071960731,22.7119073320374 -13.0762209555701,22.7117625472231 -13.0763398859532)))",maize,2021-12-18,2022-06-26,good,Main Season,no,,Zambia,Chavuma,Chavuma,11.30,2.83,,,,,,,,,,,,
03555783-2a5c-40d0-9372-be4ff9315bb0,"MULTIPOLYGON (((31.2061332094508 -8.83238374094774,31.20632267 -8.83238830626218,31.2063146806997 -8.83261999596989,31.206124078822 -8.83261314799823,31.2061332094508 -8.83238374094774)))",maize,2021-11-12,2022-06-05,good,Main Season,no,,Zambia,Mpulungu,Isoko,20.96,5.24,,,,,,,,,,,,
035c914c-fffd-451d-8d07-dd54867b1b74,"MULTIPOLYGON (((28.3952528336802 -14.2204355106289,28.3955917465235 -14.2204296923826,28.3956353833702 -14.2206609676705,28.3952731975421 -14.2206653313552,28.3952528336802 -14.2204355106289)))",maize,2021-12-18,2022-07-06,average,Main Season,no,,Zambia,Kabwe,Natuseko,17.79,4.45,,,,,,,,,,,,
03884d6a-b9a4-40b8-85e5-fd0f6735c4e4,"MULTIPOLYGON (((25.8847035630557 -13.2182807371135,25.8843977017261 -13.2182091142716,25.8844704471234 -13.2179845885973,25.8847531621902 -13.2180747207925,25.8847035630557 -13.2182807371135)))",maize,2021-11-22,2022-05-20,very_good,Main Season,no,,Zambia,Kasempa,Kafumfula,13.09,3.27,,,,,,,,,,,,
03908ec7-96aa-4e4d-9a23-feb64ef27265,"MULTIPOLYGON (((29.4275022 -13.6157367,29.4278728550846 -13.6157461167059,29.427983840136 -13.6160068434934,29.4275421 -13.616072,29.4275022 -13.6157367)))",maize,2021-11-20,2022-05-05,good,Main Season,no,,Zambia,Mkushi,Irume,14.84,3.71,,,,,,,,,,,,
03b3cf2a-e779-4471-8ef4-f433b21f4178,"MULTIPOLYGON (((26.3412273205898 -12.1837046498523,26.3413820187132 -12.1839806147043,26.341188646059 -12.1841696315606,26.3408985870778 -12.1838634241857,26.3412273205898 -12.1837046498523)))",maize,2021-11-25,2022-06-10,average,Main Season,no,,Zambia,Solwezi,Kimiteto,16.85,4.21,,,,,,,,,,,,
03d0a116-84d3-4759-abc5-335958906c70,"MULTIPOLYGON (((27.9379317008713 -12.9721249357309,27.9378474756702 -12.9722088767967,27.9377929207104 -12.9722573760662,27.9376838107909 -12.9722032807265,27.9377699502011 -12.9720876285814,27.9379317008713 -12.9721249357309)))",groundnuts,2021-12-05,2022-05-30,good,Main Season,no,,Zambia,Lufwanyama,Kampundu,1.00,0.25,,,,,,,,,,,,
04290488-4ef4-45bb-ab36-c86d86e93ed6,"MULTIPOLYGON (((31.1551583 -11.8021833,31.154651 -11.8020067,31.1547178 -11.8017533,31.1551783 -11.8018617,31.1551583 -11.8021833)))",groundnuts,2021-12-30,2022-05-30,average,Main Season,yes,other,Zambia,Kanchibiya,Ndakala,1.71,0.43,,,,,,,,,,,,
042e65c8-c77b-418d-9aa2-0419a0b9d94f,"MULTIPOLYGON (((26.3261156968398 -16.5574694184864,26.3262117584987 -16.5586221583929,26.3254771693426 -16.558588254278,26.3255319 -16.5576889,26.325532 -16.5576883,26.3261156968398 -16.5574694184864)))",groundnuts,2021-12-27,2022-05-28,average,Main Season,no,,Zambia,Kalomo,Nkandanzovu,3.78,0.94,,,,,,,,,,,,
04333dc2-382b-41bd-93c6-e4f42f318f8a,"MULTIPOLYGON (((28.6685604 -13.0313796,28.6691951694644 -13.0317789998234,28.6689598 -13.0320859,28.6686415 -13.0318888,28.6683632457622 -13.0317343755635,28.6685604 -13.0313796)))",maize,2021-12-04,2022-06-03,average,Main Season,no,,Zambia,Ndola,Bwana Mnkubwa,33.66,8.42,,,,,,,,,,,,
04338a3b-8b9d-41d5-b59b-905bf36e71a5,"MULTIPOLYGON (((24.1959324924174 -13.6079377294995,24.1962231509256 -13.6077418753009,24.1963559437903 -13.6078926018173,24.1961107877323 -13.6081344860929,24.1959324924174 -13.6079377294995)))",maize,2021-11-21,2022-05-26,good,Main Season,no,,Zambia,Kabompo,Chiweza,22.43,5.61,,,,,,,,,,,,
045eb017-c126-4637-ae74-a2ed8c949ae8,"MULTIPOLYGON (((27.678885401494 -16.0151851388652,27.6788169159879 -16.0151508961121,27.6790331860073 -16.0148751518374,27.6793017212814 -16.0147652145775,27.6790800445115 -16.0152716468729,27.678885401494 -16.0151851388652)))",maize,2021-11-29,2022-06-01,good,Main Season,no,,Zambia,Mazabuka,Munjile B,3.18,0.79,,,,,,,,,,,,
0467c98a-afa2-42f7-ace4-10cf352136c8,"MULTIPOLYGON (((27.9340437818037 -12.9746837886292,27.9348078310564 -12.9747282571043,27.934824001411 -12.9749748550112,27.9340437818037 -12.974954642068,27.9340437818037 -12.9746837886292)))",maize,2021-12-10,2022-06-10,good,Main Season,no,,Zambia,Lufwanyama,Kampundu,25.30,6.33,,,,,,,,,,,,
04d1852a-9f41-458e-967d-70deaa0b459d,"MULTIPOLYGON (((28.252495 -15.8601533,28.2528083 -15.8599517,28.2529525 -15.8600544,28.2525911 -15.8603432,28.252495 -15.8601533)))",maize,2021-12-31,2022-07-02,below_average,Main Season,no,,Zambia,Chikankata,Namalundu,4.78,1.20,,,,,,,,,,,,
04db9acf-d7c4-405c-8b70-4c3011363a76,"MULTIPOLYGON (((29.7934046725427 -8.78893647891396,29.7939274519631 -8.78925818932654,29.7939542611642 -8.78928499852759,29.7934716955453 -8.78996863315434,29.7928416793206 -8.7897273503449,29.7934046725427 -8.78893647891396)))",groundnuts,2022-01-29,2022-05-28,average,Main Season,no,,Zambia,Nsama,Kampinda,0.96,0.24,,,,,,,,,,,,
